,fpr_KNN,tpr_KNN
0,0.0,0.0
1,0.00022506365081374576,0.7207207207207207
2,0.0003938613889240551,0.7387387387387387
3,0.0007033239087929556,0.7657657657657657
4,0.0008861881250791239,0.7657657657657657
5,0.000998719950485997,0.7747747747747747
6,0.0011534512104204471,0.7747747747747747
7,0.0012800495140031791,0.7747747747747747
8,0.001547312599344502,0.7837837837837838
9,0.0016035785120479386,0.7837837837837838
10,0.001786442728334107,0.7837837837837838
11,0.0021240382045547256,0.7837837837837838
12,1.0,1.0
